Year,Player,Age,G,MP,PER,TS%,WS,VORP,FG%,FT%,TRB,AST,STL,BLK,PTS,PPG,RPG,APG,SPG,BPG,MVP
1985,Larry Micheaux,24,57,565,14.8,0.6,1.6,0.4,0.58,0.674,143,30,20,21,211,3.7017543859649122,2.508771929824561,0.5263157894736842,0.3508771929824561,0.3684210526315789,0
1985,Larry Micheaux,24,18,171,13.3,0.541,0.5,0.2,0.486,0.706,44,13,8,7,46,2.5555555555555554,2.4444444444444446,0.7222222222222222,0.4444444444444444,0.3888888888888889,0
1985,Larry Micheaux,24,39,394,15.4,0.618,1.1,0.2,0.607,0.654,99,17,12,14,165,4.230769230769231,2.5384615384615383,0.4358974358974359,0.3076923076923077,0.358974358974359,0
1985,Mike Mitchell,29,82,2853,16.5,0.5329999999999999,6,-0.1,0.49700000000000005,0.777,417,151,61,27,1824,22.24390243902439,5.085365853658536,1.8414634146341464,0.7439024390243902,0.32926829268292684,0
1985,Paul Mokeski,28,79,1586,10.1,0.511,3.4,0.3,0.478,0.698,410,99,28,35,491,6.215189873417722,5.189873417721519,1.2531645569620253,0.35443037974683544,0.4430379746835443,0
1985,Sidney Moncrief,27,73,2734,20.1,0.565,11.2,4.6,0.483,0.828,391,382,117,39,1585,21.71232876712329,5.3561643835616435,5.232876712328767,1.6027397260273972,0.5342465753424658,0
1985,Johnny Moore,26,82,2689,18.3,0.513,7.2,3.7,0.457,0.762,378,816,229,18,1046,12.75609756097561,4.609756097560975,9.951219512195122,2.792682926829268,0.21951219512195122,0
1985,Jay Murphy,22,23,149,-0.9,0.23600000000000002,-0.5,-0.5,0.16,0.5710000000000001,41,4,1,2,28,1.2173913043478262,1.7826086956521738,0.17391304347826086,0.043478260869565216,0.08695652173913043,0
1985,Larry Nance,25,61,2202,20.6,0.612,7.9,4,0.5870000000000001,0.7090000000000001,536,159,88,104,1211,19.852459016393443,8.78688524590164,2.6065573770491803,1.4426229508196722,1.7049180327868851,0
1985,Calvin Natt,28,78,2657,21.8,0.604,10.2,3.1,0.546,0.7929999999999999,610,238,75,33,1817,23.294871794871796,7.82051282051282,3.051282051282051,0.9615384615384616,0.4230769230769231,0
1985,Kenny Natt,26,8,29,4.7,0.387,0,0,0.33299999999999996,0.5,3,3,2,0,6,0.75,0.375,0.375,0.25,0,0
1985,Kenny Natt,26,4,13,1.5,0.444,-0.1,0,0.4,0.5,2,0,1,0,6,1.5,0.5,0,0.25,0,0
